"filename", "language", "Ruby", "Docker", "Markdown", "HTML", "XML", "YAML", "erb", "PostCSS", "JavaScript", "comment", "blank", "total"
"/home/rirds/spotsteam/app/views/user_comparison/_game_comparison.html.erb", "erb", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 52
"/home/rirds/spotsteam/app/views/user_comparison/_music_comparison.html.erb", "erb", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 92
"/home/rirds/spotsteam/app/views/user_comparison/show.html.erb", "erb", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"/home/rirds/spotsteam/app/views/users/new.html.erb", "erb", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 37
"/home/rirds/spotsteam/app/views/users/show.html.erb", "erb", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 3, 52
"/home/rirds/spotsteam/config.ru", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 7
"/home/rirds/spotsteam/config/application.rb", "Ruby", 9, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 28
"/home/rirds/spotsteam/config/boot.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/rirds/spotsteam/config/cable.yml", "YAML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 3, 18
"/home/rirds/spotsteam/config/cache.yml", "YAML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 4, 17
"/home/rirds/spotsteam/config/database.yml", "YAML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"/home/rirds/spotsteam/config/deploy.yml", "YAML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 70, 20, 117
"/home/rirds/spotsteam/config/environment.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"/home/rirds/spotsteam/config/environments/development.rb", "Ruby", 26, 0, 0, 0, 0, 0, 0, 0, 0, 25, 22, 73
"/home/rirds/spotsteam/config/environments/production.rb", "Ruby", 23, 0, 0, 0, 0, 0, 0, 0, 0, 43, 25, 91
"/home/rirds/spotsteam/config/environments/test.rb", "Ruby", 14, 0, 0, 0, 0, 0, 0, 0, 0, 25, 15, 54
"/home/rirds/spotsteam/config/importmap.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/home/rirds/spotsteam/config/initializers/assets.rb", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 8
"/home/rirds/spotsteam/config/initializers/content_security_policy.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 26
"/home/rirds/spotsteam/config/initializers/filter_parameter_logging.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 9
"/home/rirds/spotsteam/config/initializers/inflections.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 17
"/home/rirds/spotsteam/config/initializers/omniauth.rb", "Ruby", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 15
"/home/rirds/spotsteam/config/initializers/rspotify.rb", "Ruby", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/rirds/spotsteam/config/locales/en.yml", "YAML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 28, 2, 32
"/home/rirds/spotsteam/config/puma.rb", "Ruby", 6, 0, 0, 0, 0, 0, 0, 0, 0, 31, 5, 42
"/home/rirds/spotsteam/config/queue.yml", "YAML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/home/rirds/spotsteam/config/recurring.yml", "YAML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 10, 2, 16
"/home/rirds/spotsteam/config/routes.rb", "Ruby", 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 45
"/home/rirds/spotsteam/config/storage.yml", "YAML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 23, 6, 35
"/home/rirds/spotsteam/db/cable_schema.rb", "Ruby", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/rirds/spotsteam/db/cache_schema.rb", "Ruby", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/rirds/spotsteam/db/migrate/20251019141312_create_users.rb", "Ruby", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/rirds/spotsteam/db/migrate/20251124140454_create_spotify_users.rb", "Ruby", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/rirds/spotsteam/db/migrate/20251124161430_create_top_artists.rb", "Ruby", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/rirds/spotsteam/db/migrate/20251125124353_create_top_songs.rb", "Ruby", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/rirds/spotsteam/db/migrate/20251125182224_add_song_artist_to_top_songs.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/rirds/spotsteam/db/migrate/20251126150405_create_steam_user.rb", "Ruby", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/rirds/spotsteam/db/migrate/20251126185833_create_user_games.rb", "Ruby", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/rirds/spotsteam/db/migrate/20251127131115_add_user_level_to_steam_user.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/rirds/spotsteam/db/migrate/20251127142349_add_lastlogoff_and_timecreated_and_loccountrycode_to_steam_user.rb", "Ruby", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/rirds/spotsteam/db/migrate/20251205133043_create_game_stats.rb", "Ruby", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
